PROJECT,WBS ID,DESCRIPTION,ALIAS,E,CAM,CHARGE #,RESP,PERF,YYYYMM,BCWS HRS/UTS,ACT HRS/UTS,BCWP HRS/UTS,ETC HRS/UTS,BCWS PRIME,BCWP PRIME,ACT PRIME,BCWS T DLRS,BCWP T DLRS,ACT T DLRS,ETC T DLRS,CLIN,XREF-4,E
LRIP5,R512232V-813H00F2,AF17 STATIC PROOF TEST V-TAIL,,W,HDX,LR512232V,HDX,813H,201109,0.00,64.80,0.00,0.00,0.00,0.00,2704.10,0.00,0.00,7145.84,0.00,0018,,L
LRIP5,GL081100-819H000A,AF15 GL08 FLT ACCPT TST SEC 1100 -  Str,,W,HJX,LGL081100,HJX,819H,201103,0.00,0.00,29.70,0.00,0.00,1577.66,0.00,0.00,4284.66,0.00,0.00,0002,,L
LRIP5,GL081100-819H000B,AF15 GL08 FLT ACCPT TST SEC 1100 -  Str,,W,HJX,LGL081100,HJX,819H,201103,0.00,0.00,9.33,0.00,0.00,495.53,0.00,0.00,1345.77,0.00,0.00,0002,,L
LRIP5,GL081100-819H000D,AF15 GL08 FLT ACCEPT TST SECT 1100,,W,HJB,LGL081100,HJX,819H,201103,0.00,0.00,131.00,0.00,0.00,6958.72,0.00,0.00,18898.69,0.00,0.00,0002,,L
LRIP5,GL091100-814H,AF16 GL09 FLT ACCEPT TST SECT 1100,,W,HEX,LGL091100,HEX,814H,201101,0.00,0.00,0.00,201.80,0.00,0.00,0.00,0.00,0.00,0.00,29518.30,0003,,L
LRIP5,GL091100-814H,AF16 GL09 FLT ACCEPT TST SECT 1100,,W,HEX,LGL091100,HEX,814H,201102,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,7313.75,0003,,L
LRIP5,GL091100-814H,AF16 GL09 FLT ACCEPT TST SECT 1100,,W,HEX,LGL091100,HEX,814H,201103,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,7313.75,0003,,L
LRIP5,GL091100-814H,AF16 GL09 FLT ACCEPT TST SECT 1100,,W,HEX,LGL091100,HEX,814H,201104,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,7248.65,0003,,L
LRIP5,GL091100-814H,AF16 GL09 FLT ACCEPT TST SECT 1100,,W,HEX,LGL091100,HEX,814H,201105,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,7248.65,0003,,L
LRIP5,GL091100-814H,AF16 GL09 FLT ACCEPT TST SECT 1100,,W,HEX,LGL091100,HEX,814H,201106,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,7123.05,0003,,L
LRIP5,GL091100-814H,AF16 GL09 FLT ACCEPT TST SECT 1100,,W,HEX,LGL091100,HEX,814H,201107,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,7123.05,0003,,L
LRIP5,GL091100-814H,AF16 GL09 FLT ACCEPT TST SECT 1100,,W,HEX,LGL091100,HEX,814H,201112,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0003,,L
LRIP5,GL091100-814H,AF16 GL09 FLT ACCEPT TST SECT 1100,,W,HEX,LGL091100,HEX,814H,201203,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,4039.17,0003,,L
LRIP5,GL091100-819H000A,AF16 GL09 FLT ACCEPT TST SECT 1100,,W,HJA,LGL091100,HJX,819H,201103,0.00,0.00,29.70,0.00,0.00,1577.66,0.00,0.00,4284.66,0.00,0.00,0003,,L
LRIP5,GL091100-819H000B,AF16 GL09 FLT ACCEPT TST SECT 1100,,W,HJC,LGL091100,HJX,819H,201103,0.00,0.00,9.33,0.00,0.00,495.61,0.00,0.00,1345.99,0.00,0.00,0003,,L
LRIP5,GL091100-819H000D,AF16 GL09 FLT ACCEPT TST SECT 1100,,W,HJB,LGL091100,HJX,819H,201103,0.00,0.00,130.00,0.00,0.00,6905.60,0.00,0.00,18754.42,0.00,0.00,0003,,L
LRIP5,GL091800-3M1G,AF16 GL09 SYS. INSTALL SEC 1800 - P,,W,HHX,LGL091800,HHX,3M1G,201104,0.00,16.00,0.00,0.00,0.00,0.00,406.24,0.00,0.00,1441.21,0.00,0003,,L
LRIP5,GL091800-4A1G,AF16 GL09 SECTION 1800,,W,HHA,LR511OTPC,HHX,4A1G,201104,0.00,-16.00,0.00,0.00,0.00,0.00,-406.24,0.00,0.00,-1441.21,0.00,0003,,L
LRIP5,GL101100-814H,AF17 GL10 FLT ACCEPT TST SECT 1100,,W,HEX,LGL101100,HEX,814H,201101,0.00,0.00,0.00,324.82,0.00,0.00,0.00,0.00,0.00,0.00,47513.06,0004,,L
LRIP5,GL101100-814H,AF17 GL10 FLT ACCEPT TST SECT 1100,,W,HEX,LGL101100,HEX,814H,201102,0.00,0.00,0.00,50.02,0.00,0.00,0.00,0.00,0.00,0.00,7316.68,0004,,L
LRIP5,GL101100-814H,AF17 GL10 FLT ACCEPT TST SECT 1100,,W,HEX,LGL101100,HEX,814H,201103,0.00,0.00,0.00,50.02,0.00,0.00,0.00,0.00,0.00,0.00,7316.68,0004,,L
LRIP5,GL101100-814H,AF17 GL10 FLT ACCEPT TST SECT 1100,,W,HEX,LGL101100,HEX,814H,201104,0.00,0.00,0.00,50.02,0.00,0.00,0.00,0.00,0.00,0.00,7251.55,0004,,L
LRIP5,GL101100-814H,AF17 GL10 FLT ACCEPT TST SECT 1100,,W,HEX,LGL101100,HEX,814H,201105,0.00,0.00,0.00,50.02,0.00,0.00,0.00,0.00,0.00,0.00,7251.55,0004,,L
LRIP5,GL101100-814H,AF17 GL10 FLT ACCEPT TST SECT 1100,,W,HEX,LGL101100,HEX,814H,201106,0.00,0.00,0.00,50.02,0.00,0.00,0.00,0.00,0.00,0.00,7125.90,0004,,L
LRIP5,GL101100-814H,AF17 GL10 FLT ACCEPT TST SECT 1100,,W,HEX,LGL101100,HEX,814H,201107,0.00,0.00,0.00,50.02,0.00,0.00,0.00,0.00,0.00,0.00,7125.90,0004,,L
LRIP5,GL101100-814H,AF17 GL10 FLT ACCEPT TST SECT 1100,,W,HEX,LGL101100,HEX,814H,201112,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0004,,L
LRIP5,GL101100-814H,AF17 GL10 FLT ACCEPT TST SECT 1100,,W,HEX,LGL101100,HEX,814H,201203,0.00,0.00,0.00,25.02,0.00,0.00,0.00,0.00,0.00,0.00,4042.40,0004,,L
LRIP5,GL101100-819H000A,AF17 GL10 FLT ACCEPT TST SECT 1100,,W,HJA,LGL101100,HJX,819H,201103,0.00,0.00,29.70,0.00,0.00,1577.66,0.00,0.00,4284.66,0.00,0.00,0004,,L
LRIP5,GL101100-819H000B,AF17 GL10 FLT ACCEPT TST SECT 1100,,W,HJC,LGL101100,HJX,819H,201103,0.00,0.00,9.33,0.00,0.00,495.61,0.00,0.00,1345.99,0.00,0.00,0004,,L
LRIP5,GL101100-819H000D,AF17 GL10 FLT ACCEPT TST SECT 1100,,W,HJB,LGL101100,HJX,819H,201103,0.00,0.00,130.00,0.00,0.00,6905.60,0.00,0.00,18754.42,0.00,0.00,0004,,L
LRIP5,GL111100-811H000U,AF18 GL11 FLT ACCEPT TST SECT 1100,,W,HBC,LGL111100,HBX,811H,201101,0.00,28.00,55.00,28.00,0.00,2921.60,1310.14,0.00,7934.56,3462.17,4095.70,0005,,L
LRIP5,GL111100-811H000U,AF18 GL11 FLT ACCEPT TST SECT 1100,,W,HBC,LGL111100,HBX,811H,201102,0.00,0.00,32.50,3.78,0.00,1726.40,0.00,0.00,4688.61,0.00,552.92,0005,,L
LRIP5,GL111100-811H000U,AF18 GL11 FLT ACCEPT TST SECT 1100,,W,HBC,LGL111100,HBX,811H,201103,0.00,0.00,0.00,19.98,0.00,0.00,0.00,0.00,0.00,0.00,2922.58,0005,,L
LRIP5,GL111100-811H000U,AF18 GL11 FLT ACCEPT TST SECT 1100,,W,HBC,LGL111100,HBX,811H,201104,0.00,12.50,16.25,19.98,0.00,863.20,601.88,0.00,2344.30,1590.53,2896.56,0005,,L
LRIP5,GL111100-811H000U,AF18 GL11 FLT ACCEPT TST SECT 1100,,W,HBC,LGL111100,HBX,811H,201105,0.00,0.00,16.25,5.48,0.00,669.52,0.00,0.00,1818.30,0.00,794.45,0005,,L
LRIP5,GL111100-811H00F2,AF18 GL11 FLT ACCEPT TST SECT 1100,,W,HBD,LGL111100,HBX,811H,201101,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0005,,L
LRIP5,GL111100-811H00F2,AF18 GL11 FLT ACCEPT TST SECT 1100,,W,HBD,LGL111100,HBX,811H,201105,0.00,2.00,95.50,2.00,0.00,5072.96,89.16,0.00,13777.29,235.61,289.95,0005,,L
LRIP5,GL111100-818H000V,A&E Support to ATP - AF 18,,W,HEX,LGL111100,HEX,818H,201102,0.00,35.00,0.00,0.00,0.00,0.00,2068.48,0.00,0.00,5466.15,0.00,0005,,L
LRIP5,GL111100-818H000V,A&E Support to ATP - AF 18,,W,HEX,LGL111100,HEX,818H,201103,0.00,1.00,0.00,0.00,0.00,0.00,32.29,0.00,0.00,85.33,0.00,0005,,L
LRIP5,GL111100-818H000V,A&E Support to ATP - AF 18,,W,HEX,LGL111100,HEX,818H,201104,0.00,51.30,0.00,0.00,0.00,0.00,1658.97,0.00,0.00,4383.99,0.00,0005,,L
LRIP5,GL111100-818H000V,A&E Support to ATP - AF 18,,W,HEX,LGL111100,HEX,818H,201108,0.00,15.50,0.00,0.00,0.00,0.00,925.66,0.00,0.00,2446.14,0.00,0005,,L
LRIP5,GL111100-818H000V,A&E Support to ATP - AF 18,,W,HEX,LGL111100,HEX,818H,201109,0.00,-15.50,0.00,0.00,0.00,0.00,-925.66,0.00,0.00,-2446.14,0.00,0005,,L
LRIP5,GL111100-819H000A,AF18 GL11 FLT ACCEPT TST SECT 1100,,W,HJA,LGL111100,HJX,819H,201103,0.00,0.00,30.60,0.00,0.00,1517.87,0.00,0.00,4122.28,0.00,0.00,0005,,L
LRIP5,GL111100-819H000B,AF18 GL11 FLT ACCEPT TST SECT 1100,,W,HJC,LGL111100,HJX,819H,201103,0.00,0.00,9.62,0.00,0.00,389.96,0.00,0.00,1059.08,0.00,0.00,0005,,L
LRIP5,GL111100-819H000D,AF18 GL11 FLT ACCEPT TST SECT 1100,,W,HJB,LGL111100,HJX,819H,201103,0.00,0.00,133.00,0.00,0.00,7064.96,0.00,0.00,19187.22,0.00,0.00,0005,,L
LRIP5,GL111100-819H000D,AF18 GL11 FLT ACCEPT TST SECT 1100,,W,HJB,LGL111100,HJX,819H,201104,0.00,1.50,0.00,0.00,0.00,0.00,60.23,0.00,0.00,159.16,0.00,0005,,L
LRIP5,GL111400-4A1G,AF18 GL11 FUNCTIONAL ATP SEC 1400 -,,W,HHX,LGL111400,HHX,4A1G,201110,0.00,24.00,0.00,0.00,0.00,0.00,803.25,0.00,0.00,2849.67,0.00,0005,,L
LRIP5,GL111400-4A1G,AF18 GL11 FUNCTIONAL ATP SEC 1400 -,,W,HHX,LGL111400,HHX,4A1G,201111,0.00,-13.00,0.00,11.00,0.00,0.00,-469.73,0.00,0.00,-1666.45,1281.55,0005,,L
LRIP5,GL111400-814H,AF18 GL11 FUNCTIONAL ATP SEC 1400 -,,W,HEX,LGL111400,HEX,814H,201103,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,1462.75,0005,,L
LRIP5,GL111400-814H,AF18 GL11 FUNCTIONAL ATP SEC 1400 -,,W,HEX,LGL111400,HEX,814H,201104,0.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,1304.76,0005,,L
LRIP5,GL111400-814H,AF18 GL11 FUNCTIONAL ATP SEC 1400 -,,W,HEX,LGL111400,HEX,814H,201105,0.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,1304.76,0005,,L
LRIP5,GL111400-814H,AF18 GL11 FUNCTIONAL ATP SEC 1400 -,,W,HEX,LGL111400,HEX,814H,201106,0.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,1282.15,0005,,L
LRIP5,GL111400-814H,AF18 GL11 FUNCTIONAL ATP SEC 1400 -,,W,HEX,LGL111400,HEX,814H,201107,0.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,1282.15,0005,,L
LRIP5,GL111400-814H,AF18 GL11 FUNCTIONAL ATP SEC 1400 -,,W,HEX,LGL111400,HEX,814H,201112,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0005,,L
LRIP5,GL111400-814H,AF18 GL11 FUNCTIONAL ATP SEC 1400 -,,W,HEX,LGL111400,HEX,814H,201203,0.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,1454.10,0005,,L
LRIP5,GL121100-811H000U,AF19 GL12 FLT ACCEPT TST SECT 1100,,W,HBC,LGL121100,HBX,811H,201102,0.00,-3.00,0.00,0.00,0.00,0.00,-275.64,0.00,0.00,-728.40,0.00,0006,,L
LRIP5,GL121100-814H,AF19 GL12 FLT ACCEPT TST SECT 1100,,W,HEX,LGL121100,HEX,814H,201101,0.00,0.00,0.00,15.50,0.00,0.00,0.00,0.00,0.00,0.00,2267.26,0006,,L
