PROJECT,WBS ID,DESCRIPTION,ALIAS,E,CAM,CHARGE #,RESP,PERF,YYYYMM,BCWS HRS/UTS,ACT HRS/UTS,BCWP HRS/UTS,ETC HRS/UTS,BCWS PRIME,BCWP PRIME,ACT PRIME,BCWS T DLRS,BCWP T DLRS,ACT T DLRS,ETC T DLRS,CLIN,XREF-4,E
LRIPOC,C8MX33AA-811H0030,HALE AIR VEHICLE ANALYSIS & INTEGR - ENG,LOT 8,W,HBX,LC8MX33AA,HBX,811H,201203,0.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,1103.85,,0033AA,L
LRIPOC,C8MX33AA-815H0030,HALE AIR VEHICLE SUBSYSTEM LRU'S - ENG,LOT 8,W,HEX,LC8MX33AA,HEX,815H,201112,39.95,0.00,0.00,39.95,2210.43,0.00,0.00,6054.28,0.00,0.00,5621.48,,0033AA,L
LRIPOC,C8MX33AA-816H0030,HALE AIR VEHICLE PRODUCTION - ENG,LOT 8,W,HHX,LC8MX33AA,HHX,816H,201112,28.95,0.00,28.95,0.00,1601.80,1601.80,0.00,4387.27,4387.27,0.00,0.00,,0033AA,L
LRIPOC,C8MX33AA-816H0030,HALE AIR VEHICLE PRODUCTION - ENG,LOT 8,W,HHX,LC8MX33AA,HHX,816H,201201,0.00,0.00,0.00,28.95,0.00,0.00,0.00,0.00,0.00,0.00,4677.36,,0033AA,L
LRIPOC,C8MX33AA-819H0030,HALE AV FLIGHT SCIENCES-ENG,LOT 8,W,HJX,LC8MX33AA,HJX,819H,201111,0.00,0.00,254.10,0.00,0.00,14059.35,0.00,0.00,38507.94,0.00,0.00,,0033AA,L
LRIPOC,C8MX33AA-819H0030,HALE AV FLIGHT SCIENCES-ENG,LOT 8,W,HJX,LC8MX33AA,HJX,819H,201112,203.29,10.00,-50.81,203.29,11248.04,-2811.32,419.20,30807.87,-7700.07,1107.78,28605.52,,0033AA,L
LRIPOC,C8MX33AA-819H0030,HALE AV FLIGHT SCIENCES-ENG,LOT 8,W,HJX,LC8MX33AA,HJX,819H,201201,0.00,44.50,0.00,193.29,0.00,0.00,1677.29,0.00,0.00,4675.56,31229.22,,0033AA,L
LRIPOC,C8MX33AA-819H0030,HALE AV FLIGHT SCIENCES-ENG,LOT 8,W,HJX,LC8MX33AA,HJX,819H,201202,0.00,1.50,0.00,0.00,0.00,0.00,62.63,0.00,0.00,174.59,0.00,,0033AA,L
LRIPOC,C8MX33AA-819H0030,HALE AV FLIGHT SCIENCES-ENG,LOT 8,W,HJX,LC8MX33AA,HJX,819H,201203,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0033AA,L
LRIPOC,C8MX33AA-819H0030,HALE AV FLIGHT SCIENCES-ENG,LOT 8,W,HJX,LC8MX33AA,HJX,819H,201204,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0033AA,L
LRIPOC,C8MX33AA-819H0030,HALE AV FLIGHT SCIENCES-ENG,LOT 8,W,HJX,LC8MX33AA,HJX,819H,201205,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0033AA,L
LRIPOC,C8MX33AA-9G070030,FLIGHT TEST ACT - RB,LOT 8,W,HHX,LC8MX33AA,HHX,9G07,201110,0.00,60.50,0.00,0.00,0.00,0.00,3083.65,0.00,0.00,8148.84,0.00,,0033AA,L
