PROJECT,WBS ID,DESCRIPTION,ALIAS,E,CAM,CHARGE #,RESP,PERF,YYYYMM,BCWS HRS/UTS,ACT HRS/UTS,BCWP HRS/UTS,ETC HRS/UTS,BCWS PRIME,BCWP PRIME,ACT PRIME,BCWS T DLRS,BCWP T DLRS,ACT T DLRS,ETC T DLRS,CLIN,CA Clin,E
LRIP10,10A40HEX,"AF40 Assy/Test of Elec Comp, Factory ATP Supt, and FT Support",Block 30,C,HEX,L10A40HEX,HEX,,201305,36.62,0.00,0.00,36.62,2124.69,0.00,0.00,6130.58,0.00,0.00,6044.18,0003,0003,L
LRIP10,10A40HEX,"AF40 Assy/Test of Elec Comp, Factory ATP Supt, and FT Support",Block 30,C,HEX,L10A40HEX,HEX,,201306,21.63,0.00,0.00,21.63,1254.97,0.00,0.00,3621.10,0.00,0.00,3570.06,0003,0003,L
LRIP10,10A40HEX,"AF40 Assy/Test of Elec Comp, Factory ATP Supt, and FT Support",Block 30,C,HEX,L10A40HEX,HEX,,201308,60.00,0.00,0.00,60.00,3481.20,0.00,0.00,10044.65,0.00,0.00,9903.07,0003,0003,L
LRIP10,10A40HEX,"AF40 Assy/Test of Elec Comp, Factory ATP Supt, and FT Support",Block 30,C,HEX,L10A40HEX,HEX,,201309,100.00,0.00,0.00,100.00,5802.00,0.00,0.00,16741.08,0.00,0.00,16505.12,0003,0003,L
LRIP10,10A40HEX,"AF40 Assy/Test of Elec Comp, Factory ATP Supt, and FT Support",Block 30,C,HEX,L10A40HEX,HEX,,201310,5.00,0.00,0.00,5.00,290.10,0.00,0.00,837.05,0.00,0.00,825.26,0003,0003,L
LRIP10,10A40HEX,"AF40 Assy/Test of Elec Comp, Factory ATP Supt, and FT Support",Block 30,C,HEX,L10A40HEX,HEX,,201401,16.80,0.00,0.00,16.80,1007.16,0.00,0.00,2906.06,0.00,0.00,2943.97,0003,0003,L
LRIP10,10A40HEX,"AF40 Assy/Test of Elec Comp, Factory ATP Supt, and FT Support",Block 30,C,HEX,L10A40HEX,HEX,,201402,16.00,0.00,0.00,16.00,959.20,0.00,0.00,2767.67,0.00,0.00,2803.78,0003,0003,L
LRIP10,10A40HEX,"AF40 Assy/Test of Elec Comp, Factory ATP Supt, and FT Support",Block 30,C,HEX,L10A40HEX,HEX,,201403,11.80,0.00,0.00,11.80,707.41,0.00,0.00,2041.16,0.00,0.00,2067.79,0003,0003,L
LRIP10,10A40HEX,"AF40 Assy/Test of Elec Comp, Factory ATP Supt, and FT Support",Block 30,C,HEX,L10A40HEX,HEX,,201404,8.43,0.00,0.00,8.43,505.38,0.00,0.00,1458.22,0.00,0.00,1477.24,0003,0003,L
LRIP10,10A40HEX,"AF40 Assy/Test of Elec Comp, Factory ATP Supt, and FT Support",Block 30,C,HEX,L10A40HEX,HEX,,201405,8.05,0.00,0.00,8.05,482.60,0.00,0.00,1392.49,0.00,0.00,1410.65,0003,0003,L
LRIP10,10A40HEX,"AF40 Assy/Test of Elec Comp, Factory ATP Supt, and FT Support",Block 30,C,HEX,L10A40HEX,HEX,,201406,1.92,0.00,0.00,1.92,115.10,0.00,0.00,332.12,0.00,0.00,336.45,0003,0003,L
