PROJECT,WBS ID,DESCRIPTION,ALIAS,E,Type,CHARGE #,RESP,PERF,YYYYMM,BCWS HRS/UTS,ACT HRS/UTS,BCWP HRS/UTS,ETC HRS/UTS,BCWS PRIME,BCWP PRIME,ACT PRIME,BCWS T DLRS,BCWP T DLRS,ACT T DLRS,ETC T DLRS,CLIN,XREF-4,E
EHSS,212002-810H,CLIN 2 - PROGRAM MGMT - AV TIER4,BASIC,C,FFP,LEH212002,H00,810H,201110,168.00,107.80,168.00,0.00,9145.92,9145.92,5055.96,25013.99,25013.99,13393.05,0.00,2,BASIC,L
EHSS,212002-810H,CLIN 2 - PROGRAM MGMT - AV TIER4,BASIC,C,FFP,LEH212002,H00,810H,201111,168.00,120.70,168.00,0.00,9145.92,9145.92,6483.44,25013.99,25013.99,17174.39,0.00,2,BASIC,L
EHSS,212002-810H,CLIN 2 - PROGRAM MGMT - AV TIER4,BASIC,C,FFP,LEH212002,H00,810H,201112,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,BASIC,L
EHSS,2120B2-H0PM,BAF - PROGRAM MGMT IMPACT,EMI/EMC Testing,C,CPFF,LEH2120B2,H00,810H,201112,120.00,155.90,120.00,0.00,6532.80,6532.80,7997.78,17867.13,17867.13,21185.82,0.00,2,EMI/EMC Testing,L
EHSS,2120B2-H0PM,BAF - PROGRAM MGMT IMPACT,EMI/EMC Testing,C,CPFF,LEH2120B2,H00,810H,201201,135.00,129.70,135.00,0.00,7740.90,7740.90,7115.09,21811.50,21811.50,19833.80,0.00,2,EMI/EMC Testing,L
EHSS,2120B2-H0PM,BAF - PROGRAM MGMT IMPACT,EMI/EMC Testing,C,CPFF,LEH2120B2,H00,810H,201202,135.00,133.40,135.00,0.00,7740.90,7740.90,7496.39,21811.50,21811.50,20896.70,0.00,2,EMI/EMC Testing,L
EHSS,2120B2-H0EP,BAF - PROGRAM MGMT IMPACT,EMI/EMC Testing,C,CPFF,LEH2120B2,H00,ML29,201112,4.00,1.50,4.00,0.00,185.16,185.16,54.98,704.12,704.12,194.10,0.00,2,EMI/EMC Testing,L
EHSS,2120B2-H0EP,BAF - PROGRAM MGMT IMPACT,EMI/EMC Testing,C,CPFF,LEH2120B2,H00,ML29,201201,4.00,5.00,4.00,0.00,131.80,131.80,177.40,490.80,490.80,649.00,0.00,2,EMI/EMC Testing,L
EHSS,2120B2-H0EP,BAF - PROGRAM MGMT IMPACT,EMI/EMC Testing,C,CPFF,LEH2120B2,H00,ML29,201202,5.00,7.20,5.00,0.00,164.75,164.75,261.50,613.49,613.49,956.67,0.00,2,EMI/EMC Testing,L
EHSS,212FF2-H0EP,Material Engineer Coordination,BASIC,C,CPFF,LEH212FF2,H00,,201203,5.00,2.20,5.00,5.00,163.85,163.85,83.79,610.14,610.14,306.54,599.43,2,BASIC,L
