PROJECT,WBS ID,DESCRIPTION,ALIAS,E,CAM,CHARGE #,RESP,PERF,YYYYMM,BCWS HRS/UTS,ACT HRS/UTS,BCWP HRS/UTS,ETC HRS/UTS,BCWS PRIME,BCWP PRIME,ACT PRIME,BCWS T DLRS,BCWP T DLRS,ACT T DLRS,ETC T DLRS,CLIN,XREF-4,E
FY11INF,414E0A-HXX,FY11 INF - Program Management,0133,W,HXX,LX8414E0A,HXX,,201106,909.28,734.71,909.28,939.53,49910.11,49910.11,41746.52,138649.04,138649.04,109090.46,136386.89,0133,,L
FY11INF,414E0A-HXX,FY11 INF - Program Management,0133,W,HXX,LX8414E0A,HXX,,201107,549.69,673.40,549.69,677.48,30013.95,30013.95,30785.11,84154.35,84154.35,90286.08,98396.59,0133,,L
FY11INF,414E0A-HXX,FY11 INF - Program Management,0133,W,HXX,LX8414E0A,HXX,,201108,549.69,647.20,549.69,647.20,30013.95,30013.95,34413.42,84154.35,84154.35,93525.39,92466.93,0133,,L
FY11INF,414E0A-HXX,FY11 INF - Program Management,0133,W,HXX,LX8414E0A,HXX,,201109,549.69,577.20,549.69,566.12,30013.95,30013.95,29706.66,84154.35,84154.35,81272.00,80917.12,0133,,L
FY11INF,414E0A-HXX,FY11 INF - Program Management,0133,W,HXX,LX8414E0A,HXX,,201110,549.69,395.60,549.69,395.60,30013.95,30013.95,21000.24,84154.35,84154.35,56797.11,56922.75,0133,,L
FY11INF,414E0A-HXX,FY11 INF - Program Management,0133,W,HXX,LX8414E0A,HXX,,201111,549.69,585.49,549.69,695.56,30013.95,30013.95,28948.68,84154.35,84154.35,77511.31,98218.80,0133,,L
FY11INF,414E1A-HXX,FY11 INF - Systems Engineering,0133,W,HXX,LX8414E1A,HXX,,201106,11.60,10.10,11.60,11.60,641.83,641.83,649.99,1757.94,1757.94,1721.80,1681.69,0133,,L
FY11INF,414E1A-HXX,FY11 INF - Systems Engineering,0133,W,HXX,LX8414E1A,HXX,,201107,16.14,14.50,16.14,14.64,893.01,893.01,857.72,2445.91,2445.91,2272.07,2122.36,0133,,L
FY11INF,414E1A-HXX,FY11 INF - Systems Engineering,0133,W,HXX,LX8414E1A,HXX,,201108,16.14,12.00,16.14,12.00,893.01,893.01,770.53,2445.91,2445.91,2041.11,1709.35,0133,,L
FY11INF,414E1A-HXX,FY11 INF - Systems Engineering,0133,W,HXX,LX8414E1A,HXX,,201109,16.14,21.00,16.14,15.00,893.01,893.01,1341.99,2445.91,2445.91,3554.88,2136.70,0133,,L
FY11INF,414E1A-HXX,FY11 INF - Systems Engineering,0133,W,HXX,LX8414E1A,HXX,,201110,16.14,1.50,16.14,1.50,893.01,893.01,103.01,2445.91,2445.91,272.87,237.07,0133,,L
FY11INF,414E1A-HXX,FY11 INF - Systems Engineering,0133,W,HXX,LX8414E1A,HXX,,201111,16.14,11.50,16.14,28.50,893.01,893.01,660.20,2445.91,2445.91,1748.85,4010.27,0133,,L
FY11INF,414E2A-HXX,FY11 INF - Change Control Process,0133,W,HXX,LX8414E2A,HXX,,201106,328.50,283.20,328.50,328.50,18175.91,18175.91,13133.36,49782.99,49782.99,34814.50,47623.60,0133,,L
FY11INF,414E2A-HXX,FY11 INF - Change Control Process,0133,W,HXX,LX8414E2A,HXX,,201107,118.90,508.70,118.90,307.20,6578.56,6578.56,24398.35,18018.38,18018.38,64605.60,44535.22,0133,,L
FY11INF,414E2A-HXX,FY11 INF - Change Control Process,0133,W,HXX,LX8414E2A,HXX,,201108,118.90,315.80,118.90,315.80,6578.56,6578.56,16666.58,18018.38,18018.38,44149.15,44985.14,0133,,L
FY11INF,414E2A-HXX,FY11 INF - Change Control Process,0133,W,HXX,LX8414E2A,HXX,,201109,118.90,141.50,118.90,253.00,6578.56,6578.56,6317.44,18018.38,18018.38,16734.66,36039.30,0133,,L
FY11INF,414E2A-HXX,FY11 INF - Change Control Process,0133,W,HXX,LX8414E2A,HXX,,201110,118.90,31.50,118.90,31.50,6578.56,6578.56,1731.24,18018.38,18018.38,4585.99,4485.84,0133,,L
FY11INF,414E2A-HXX,FY11 INF - Change Control Process,0133,W,HXX,LX8414E2A,HXX,,201111,118.90,53.30,118.90,30.35,6578.56,6578.56,2782.94,18018.38,18018.38,7408.98,4270.19,0133,,L
FY11INF,414E5A-HXX,FY11 INF - DADT Meetings,0133,W,HXX,LX8414E5A,HXX,,201106,342.00,292.00,342.00,342.00,18922.86,18922.86,19685.67,51828.87,51828.87,52146.60,49580.74,0133,,L
FY11INF,414E5A-HXX,FY11 INF - DADT Meetings,0133,W,HXX,LX8414E5A,HXX,,201107,0.00,214.60,0.00,136.80,0.00,0.00,13045.87,0.00,0.00,34558.02,19832.30,0133,,L
,,,,,,,,,,,,,,,,,,,,,,,
