PROJECT,WBS ID,DESCRIPTION,ALIAS,E,XREF-7,CHARGE #,RESP,PERF,YYYYMM,BCWS HRS/UTS,ACT HRS/UTS,BCWP HRS/UTS,ETC HRS/UTS,BCWS PRIME,BCWP PRIME,ACT PRIME,BCWS T DLRS,BCWP T DLRS,ACT T DLRS,ETC T DLRS,CLIN,XREF-4,E,
GHBOA,100-01HJX1,HALE AV FLIGHT SCIENCES-ENG,,W,,LY101HJX1,HJX,819H,201103,7.45,0.00,7.45,14.90,412.33,412.33,0.00,1174.95,1174.95,0.00,2179.82,1,,L,
GHBOA,100-01HJX1,HALE AV FLIGHT SCIENCES-ENG,,W,,LY101HJX1,HJX,819H,201104,9.32,0.00,9.32,9.32,515.41,515.41,0.00,1468.69,1468.69,0.00,1362.59,1,,L,
GHBOA,100-01HJX1,HALE AV FLIGHT SCIENCES-ENG,,W,,LY101HJX1,HJX,819H,201105,7.08,0.00,7.08,7.08,391.72,391.72,0.00,1116.20,1116.20,0.00,1035.57,1,,L,
GHBOA,100-01HJX1,HALE AV FLIGHT SCIENCES-ENG,,W,,LY101HJX1,HJX,819H,201106,7.08,0.00,7.08,7.08,391.72,391.72,0.00,1116.20,1116.20,0.00,1035.57,1,,L,
GHBOA,100-01HJX1,HALE AV FLIGHT SCIENCES-ENG,,W,,LY101HJX1,HJX,819H,201107,8.94,0.00,8.94,8.94,494.80,494.80,0.00,1409.94,1409.94,0.00,1308.09,1,,L,
GHBOA,100-01HJX1,HALE AV FLIGHT SCIENCES-ENG,,W,,LY101HJX1,HJX,819H,201108,7.45,0.00,7.45,7.45,412.33,412.33,0.00,1174.95,1174.95,0.00,1090.08,1,,L,
GHBOA,100-01HJX1,HALE AV FLIGHT SCIENCES-ENG,,W,,LY101HJX1,HJX,819H,201109,7.45,0.00,7.45,7.45,412.33,412.33,0.00,1174.95,1174.95,0.00,1061.57,1,,L,
GHBOA,100-01HJX1,HALE AV FLIGHT SCIENCES-ENG,,W,,LY101HJX1,HJX,819H,201110,9.32,0.00,9.32,9.32,515.41,515.41,0.00,1468.69,1468.69,0.00,1310.78,1,,L,
GHBOA,100-01HJX1,HALE AV FLIGHT SCIENCES-ENG,,W,,LY101HJX1,HJX,819H,201111,6.71,0.00,6.71,6.71,371.10,371.10,0.00,1057.46,1057.46,0.00,943.76,1,,L,
GHBOA,100-01HJX1,HALE AV FLIGHT SCIENCES-ENG,,W,,LY101HJX1,HJX,819H,201112,5.59,0.00,5.59,5.59,309.25,309.25,0.00,881.21,881.21,0.00,786.47,1,,L,
GHBOA,100-01HJX1,HALE AV FLIGHT SCIENCES-ENG,,W,,LY101HJX1,HJX,819H,201201,8.94,0.00,0.00,8.94,512.77,0.00,0.00,1444.84,0.00,0.00,1444.82,1,,L,
GHBOA,100-01HJX1,HALE AV FLIGHT SCIENCES-ENG,,W,,LY101HJX1,HJX,819H,201202,7.45,0.00,0.00,7.45,427.31,0.00,0.00,1204.03,0.00,0.00,1204.02,1,,L,
GHBOA,100-01HJX1,HALE AV FLIGHT SCIENCES-ENG,,W,,LY101HJX1,HJX,819H,201203,7.45,0.00,0.00,7.45,427.31,0.00,0.00,1204.03,0.00,0.00,1204.02,1,,L,
GHBOA,100-01HJX1,HALE AV FLIGHT SCIENCES-ENG,,W,,LY101HJX1,HJX,819H,201204,9.32,0.00,0.00,9.32,534.14,0.00,0.00,1505.04,0.00,0.00,1505.07,1,,L,
GHBOA,100-01HJX1,HALE AV FLIGHT SCIENCES-ENG,,W,,LY101HJX1,HJX,819H,201205,7.08,0.00,0.00,7.08,405.95,0.00,0.00,1143.83,0.00,0.00,1143.83,1,,L,
GHBOA,100-01HJX1,HALE AV FLIGHT SCIENCES-ENG,,W,,LY101HJX1,HJX,819H,201206,7.45,0.00,0.00,7.45,427.31,0.00,0.00,1204.03,0.00,0.00,1204.02,1,,L,
GHBOA,100-01HJX1,HALE AV FLIGHT SCIENCES-ENG,,W,,LY101HJX1,HJX,819H,201207,8.94,0.00,0.00,8.94,512.77,0.00,0.00,1444.84,0.00,0.00,1444.82,1,,L,
GHBOA,100-01HJX1,HALE AV FLIGHT SCIENCES-ENG,,W,,LY101HJX1,HJX,819H,201208,7.45,0.00,0.00,7.45,427.31,0.00,0.00,1204.03,0.00,0.00,1204.02,1,,L,
GHBOA,100-01HJX1,HALE AV FLIGHT SCIENCES-ENG,,W,,LY101HJX1,HJX,819H,201209,7.08,0.00,0.00,7.08,405.95,0.00,0.00,1143.83,0.00,0.00,1143.83,1,,L,
GHBOA,100-01HJX1,HALE AV FLIGHT SCIENCES-ENG,,W,,LY101HJX1,HJX,819H,201210,9.32,0.00,0.00,9.32,534.14,0.00,0.00,1505.04,0.00,0.00,1505.07,1,,L,
GHBOA,100-01HJX1,HALE AV FLIGHT SCIENCES-ENG,,W,,LY101HJX1,HJX,819H,201211,6.71,0.00,0.00,6.71,384.58,0.00,0.00,1083.63,0.00,0.00,1083.65,1,,L,
