PROJECT,WBS ID,DESCRIPTION,ALIAS,E,CAM,CHARGE #,RESP,PERF,YYYYMM,BCWS HRS/UTS,ACT HRS/UTS,BCWP HRS/UTS,ETC HRS/UTS,BCWS PRIME,BCWP PRIME,ACT PRIME,BCWS T DLRS,BCWP T DLRS,ACT T DLRS,ETC T DLRS,CLIN,CACLIN,E
LRIP9B,R9CB3J45,AV IPT-MFG Program Mgmt-Common BL,,W,H00,LR9CB3J45,H00,3J45,201201,93.43,3.00,93.43,48.10,4618.24,4618.24,157.17,17197.39,17197.39,574.99,8853.03,0010,,L
LRIP9B,R9CB3J45,AV IPT-MFG Program Mgmt-Common BL,,W,H00,LR9CB3J45,H00,3J45,201202,99.00,16.20,99.00,16.20,4893.57,4893.57,975.12,18222.64,18222.64,3089.57,3081.29,0010,,L
LRIP9B,R9CB3J45,AV IPT-MFG Program Mgmt-Common BL,,W,H00,LR9CB3J45,H00,3J45,201203,0.00,4.00,0.00,77.87,0.00,0.00,189.59,0.00,0.00,670.14,13850.78,0010,,L
LRIP9B,R9CB810H,AV IPT - Program Mgmt-Common BL,,W,H00,LR9CB810H,H00,810H,201103,485.31,899.40,485.31,899.40,26036.88,26036.88,49952.09,70988.74,70988.74,132003.14,131020.58,0010,,L
LRIP9B,R9CB810H,AV IPT - Program Mgmt-Common BL,,W,H00,LR9CB810H,H00,810H,201104,396.17,569.80,396.17,569.80,21254.52,21254.52,31645.58,57949.79,57949.79,83626.45,82605.57,0010,,L
LRIP9B,R9CB810H,AV IPT - Program Mgmt-Common BL,,W,H00,LR9CB810H,H00,810H,201105,396.17,483.20,396.17,483.20,21254.52,21254.52,26745.43,57949.79,57949.79,70677.34,70050.92,0010,,L
LRIP9B,R9CB810H,AV IPT - Program Mgmt-Common BL,,W,H00,LR9CB810H,H00,810H,201106,463.02,513.61,463.02,513.61,24841.02,24841.02,28573.42,67728.27,67728.27,75522.80,73169.36,0010,,L
LRIP9B,R9CB810H,AV IPT - Program Mgmt-Common BL,,W,H00,LR9CB810H,H00,810H,201107,373.88,402.60,373.88,428.63,20058.66,20058.66,21750.45,54689.31,54689.31,57477.63,61063.03,0010,,L
LRIP9B,R9CB810H,AV IPT - Program Mgmt-Common BL,,W,H00,LR9CB810H,H00,810H,201108,396.17,471.30,396.17,471.30,21254.52,21254.52,26615.12,57949.79,57949.79,70332.98,67136.51,0010,,L
LRIP9B,R9CB810H,AV IPT - Program Mgmt-Common BL,,W,H00,LR9CB810H,H00,810H,201109,463.02,494.70,463.02,453.13,24841.02,24841.02,28246.38,67728.27,67728.27,74643.74,64548.20,0010,,L
LRIP9B,R9CB810H,AV IPT - Program Mgmt-Common BL,,W,H00,LR9CB810H,H00,810H,201110,396.17,382.50,396.17,475.67,21254.52,21254.52,21863.80,57949.79,57949.79,57777.17,66932.90,0010,,L
LRIP9B,R9CB810H,AV IPT - Program Mgmt-Common BL,,W,H00,LR9CB810H,H00,810H,201111,373.88,365.30,373.88,425.68,20058.66,20058.66,21035.75,54689.31,54689.31,55588.97,59898.66,0010,,L
LRIP9B,R9CB810H,AV IPT - Program Mgmt-Common BL,,W,H00,LR9CB810H,H00,810H,201112,396.17,605.20,396.17,468.10,21254.52,21254.52,32244.63,57949.79,57949.79,85209.50,65867.70,0010,,L
LRIP9B,R9CB810H,AV IPT - Program Mgmt-Common BL,,W,H00,LR9CB810H,H00,810H,201201,373.88,617.20,373.88,467.26,21438.28,21438.28,32763.77,60406.55,60406.55,92020.26,75493.64,0010,,L
LRIP9B,R9CB810H,AV IPT - Program Mgmt-Common BL,,W,H00,LR9CB810H,H00,810H,201202,396.17,836.30,396.17,836.30,22716.39,22716.39,43396.29,64007.87,64007.87,121300.75,134202.76,0010,,L
LRIP9B,R9CB810H,AV IPT - Program Mgmt-Common BL,,W,H00,LR9CB810H,H00,810H,201203,0.00,137.50,0.00,0.00,0.00,0.00,7703.91,0.00,0.00,21554.82,0.00,0010,,L
