PROJECT,WBS ID,DESCRIPTION,ALIAS,E,XREF-7,CHARGE #,RESP,PERF,YYYYMM,BCWS HRS/UTS,ACT HRS/UTS,BCWP HRS/UTS,ETC HRS/UTS,BCWS PRIME,BCWP PRIME,ACT PRIME,BCWS T DLRS,BCWP T DLRS,ACT T DLRS,ETC T DLRS,CLIN,XREF-4,E
GHBOA11,12000A-03J4A,Manufacturing Engineering Support,,W,,LDB12000A,HEX,3J4A,201104,0.00,4.00,0.00,0.00,0.00,0.00,209.78,0.00,0.00,740.62,0.00,1,,L
GHBOA11,12000A-03J30,Avionics Industrial Engineering,,W,,LDB12000A,HEX,3J30,201102,0.00,4.90,0.00,0.00,0.00,0.00,181.50,0.00,0.00,640.77,0.00,1,,L
GHBOA11,12000A-03J30,Avionics Industrial Engineering,,W,,LDB12000A,HEX,3J30,201103,0.00,2.60,0.00,0.00,0.00,0.00,133.12,0.00,0.00,469.97,0.00,1,,L
GHBOA11,12000A-03J30,Avionics Industrial Engineering,,W,,LDB12000A,HEX,3J30,201104,0.00,2.00,0.00,0.00,0.00,0.00,102.40,0.00,0.00,361.52,0.00,1,,L
GHBOA11,12000A-03J30,Avionics Industrial Engineering,,W,,LDB12000A,HEX,3J30,201105,0.00,6.40,0.00,0.00,0.00,0.00,299.14,0.00,0.00,1056.10,0.00,1,,L
GHBOA11,12000A-03J30,Avionics Industrial Engineering,,W,,LDB12000A,HEX,3J30,201106,0.00,7.50,0.00,0.00,0.00,0.00,361.70,0.00,0.00,1276.96,0.00,1,,L
GHBOA11,12000A-03J30,Avionics Industrial Engineering,,W,,LDB12000A,HEX,3J30,201107,0.00,2.50,0.00,0.00,0.00,0.00,116.85,0.00,0.00,412.53,0.00,1,,L
GHBOA11,12000A-03J30,Avionics Industrial Engineering,,W,,LDB12000A,HEX,3J30,201108,0.00,2.70,0.00,0.00,0.00,0.00,132.89,0.00,0.00,469.16,0.00,1,,L
GHBOA11,12000A-03J30,Avionics Industrial Engineering,,W,,LDB12000A,HEX,3J30,201109,0.00,5.50,0.00,0.00,0.00,0.00,279.37,0.00,0.00,986.30,0.00,1,,L
GHBOA11,12000A-03J30,Avionics Industrial Engineering,,W,,LDB12000A,HEX,3J30,201110,0.00,13.50,0.00,0.00,0.00,0.00,657.75,0.00,0.00,2322.15,0.00,1,,L
GHBOA11,12000A-03J30,Avionics Industrial Engineering,,W,,LDB12000A,HEX,3J30,201111,0.00,6.50,0.00,0.00,0.00,0.00,332.80,0.00,0.00,1174.93,0.00,1,,L
GHBOA11,12000A-03J30,Avionics Industrial Engineering,,W,,LDB12000A,HEX,3J30,201112,0.00,6.70,0.00,0.00,0.00,0.00,343.04,0.00,0.00,1211.08,0.00,1,,L
GHBOA11,12000A-03J30,Avionics Industrial Engineering,,W,,LDB12000A,HEX,3J30,201201,0.00,1.50,0.00,0.00,0.00,0.00,76.80,0.00,0.00,285.99,0.00,1,,L
GHBOA11,12000A-04J4G,4J4G Manufacturing Engineering,,W,,LDB12000A,HHX,4J4G,201104,0.00,0.06,0.00,0.00,0.00,0.00,4.54,0.00,0.00,16.03,0.00,1,,L
GHBOA11,15000A-03A4A,AVIONICS DEVELOPMENT CTR,,W,,LDB15000A,HEX,3A4A,201101,0.00,14.87,0.00,0.00,0.00,0.00,522.16,0.00,0.00,1843.45,0.00,1,,L
GHBOA11,15000A-03A4A,AVIONICS DEVELOPMENT CTR,,W,,LDB15000A,HEX,3A4A,201102,0.00,110.83,0.00,0.00,0.00,0.00,3488.73,0.00,0.00,12316.75,0.00,1,,L
GHBOA11,15000A-03A4A,AVIONICS DEVELOPMENT CTR,,W,,LDB15000A,HEX,3A4A,201103,0.00,98.44,0.00,0.00,0.00,0.00,3593.65,0.00,0.00,12687.17,0.00,1,,L
GHBOA11,15000A-03A4A,AVIONICS DEVELOPMENT CTR,,W,,LDB15000A,HEX,3A4A,201104,0.00,110.23,0.00,0.00,0.00,0.00,4233.11,0.00,0.00,14944.74,0.00,1,,L
