PROJECT,WBS ID,DESCRIPTION,ALIAS,E,CAM,CHARGE #,RESP,PERF,YYYYMM,BCWS HRS/UTS,ACT HRS/UTS,BCWP HRS/UTS,ETC HRS/UTS,BCWS PRIME,BCWP PRIME,ACT PRIME,BCWS T DLRS,BCWP T DLRS,ACT T DLRS,ETC T DLRS,CLIN,COMPANY,E
GSREARC,31400A-819H,PH 1A SYS DEVELOPMENT- IMMC SW,PH1A,W,HJX,LGS31400A,HJX,0819H,201108,0.00,0.00,0.00,0.00,-0.25,-0.25,0.00,-0.66,-0.66,0.00,0.00,126,,L
GSREARC,31400A-819H,PH 1A SYS DEVELOPMENT- IMMC SW,PH1A,W,HJX,LGS31400A,HJX,0819H,201109,0.00,0.00,0.00,0.00,-0.25,-0.25,0.00,-0.66,-0.66,0.00,0.00,126,,L
GSREARC,31400A-819H,PH 1A SYS DEVELOPMENT- IMMC SW,PH1A,W,HJX,LGS31400A,HJX,0819H,201110,0.00,0.00,0.00,0.00,-0.05,-0.05,0.00,-0.13,-0.13,0.00,0.00,126,,L
GSREARC,31400A-819H,PH 1A SYS DEVELOPMENT- IMMC SW,PH1A,W,HJX,LGS31400A,HJX,0819H,201111,0.00,0.00,0.00,0.00,-0.12,-0.12,0.00,-0.32,-0.32,0.00,0.00,126,,L
GSREARC,314-26HJX2,PH 1A SYS DEVELOPMENT- IMMC SW,PH1A,W,HJX,LGS26HJX5,HJX,0819H,201201,80.00,10.10,0.00,132.00,4587.20,0.00,655.56,12925.33,0.00,1847.17,21326.80,126,,L
GSREARC,314-26HJX2,PH 1A SYS DEVELOPMENT- IMMC SW,PH1A,W,HJX,LGS26HJX5,HJX,0819H,201202,80.00,0.00,0.00,20.00,4587.20,0.00,0.00,12925.33,0.00,0.00,3474.33,126,,L
GSREARC,314-26HJX2,PH 1A SYS DEVELOPMENT- IMMC SW,PH1A,W,HJX,LGS26HJX5,HJX,0819H,201203,-40.00,0.00,0.00,120.00,-2201.20,0.00,0.00,-6202.31,0.00,0.00,19419.46,126,,L
GSREARC,314-26HJX2,PH 1A SYS DEVELOPMENT- IMMC SW,PH1A,W,HJX,LGS26HJX5,HJX,0819H,201204,40.00,0.00,0.00,180.00,2262.80,0.00,0.00,6375.88,0.00,0.00,28691.47,126,,L
GSREARC,314-26HJX2,PH 1A SYS DEVELOPMENT- IMMC SW,PH1A,W,HJX,LGS26HJX5,HJX,0819H,201205,40.00,0.00,0.00,180.00,2262.80,0.00,0.00,6375.88,0.00,0.00,28691.47,126,,L
GSREARC,314-26HJX2,PH 1A SYS DEVELOPMENT- IMMC SW,PH1A,W,HJX,LGS26HJX5,HJX,0819H,201206,80.00,0.00,0.00,220.40,4525.60,0.00,0.00,12751.76,0.00,0.00,35131.11,126,,L
GSREARC,314-26HJX2,PH 1A SYS DEVELOPMENT- IMMC SW,PH1A,W,HJX,LGS26HJX5,HJX,0819H,201207,40.00,0.00,0.00,188.40,2262.80,0.00,0.00,6375.88,0.00,0.00,30030.40,126,,L
GSREARC,314-26HJX2,PH 1A SYS DEVELOPMENT- IMMC SW,PH1A,W,HJX,LGS26HJX5,HJX,0819H,201210,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,126,,L
GSREARC,314-26HJX2,PH 1A SYS DEVELOPMENT- IMMC SW,PH1A,W,HJX,LGS26HJX5,HJX,0819H,201211,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,126,,L
GSREARC,314-26HJX2,PH 1A SYS DEVELOPMENT- IMMC SW,PH1A,W,HJX,LGS26HJX5,HJX,0819H,201212,100.00,0.00,0.00,212.00,5695.50,0.00,0.00,16048.19,0.00,0.00,34022.15,126,,L
GSREARC,314-26HJX2,PH 1A SYS DEVELOPMENT- IMMC SW,PH1A,W,HJX,LGS26HJX5,HJX,0819H,201301,100.00,0.00,0.00,212.00,5878.50,0.00,0.00,16961.81,0.00,0.00,35959.05,126,,L
GSREARC,314-26HJX2,PH 1A SYS DEVELOPMENT- IMMC SW,PH1A,W,HJX,LGS26HJX5,HJX,0819H,201302,100.00,0.00,0.00,212.00,5878.50,0.00,0.00,16961.81,0.00,0.00,35959.05,126,,L
GSREARC,314-26HJX2,PH 1A SYS DEVELOPMENT- IMMC SW,PH1A,W,HJX,LGS26HJX5,HJX,0819H,201303,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,126,,L
GSREARC,314-26HJX2,PH 1A SYS DEVELOPMENT- IMMC SW,PH1A,W,HJX,LGS26HJX5,HJX,0819H,201304,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,126,,L
GSREARC,314-26HJX2,PH 1A SYS DEVELOPMENT- IMMC SW,PH1A,W,HJX,LGS26HJX5,HJX,0819H,201305,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,126,,L
GSREARC,314-26HJX2,PH 1A SYS DEVELOPMENT- IMMC SW,PH1A,W,HJX,LGS26HJX5,HJX,0819H,201306,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,126,,L
GSREARC,314-26HJX2,PH 1A SYS DEVELOPMENT- IMMC SW,PH1A,W,HJX,LGS26HJX5,HJX,0819H,201307,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,126,,L
GSREARC,314-26HJX2,PH 1A SYS DEVELOPMENT- IMMC SW,PH1A,W,HJX,LGS26HJX5,HJX,0819H,201308,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,126,,L
GSREARC,314-26HJX2,PH 1A SYS DEVELOPMENT- IMMC SW,PH1A,W,HJX,LGS26HJX5,HJX,0819H,201309,60.00,0.00,0.00,170.00,3527.10,0.00,0.00,10177.09,0.00,0.00,28835.09,126,,L
GSREARC,314-26HJX2,PH 1A SYS DEVELOPMENT- IMMC SW,PH1A,W,HJX,LGS26HJX5,HJX,0819H,201310,60.00,0.00,0.00,170.00,3527.10,0.00,0.00,10177.09,0.00,0.00,28835.09,126,,L
GSREARC,314-26HJX2,PH 1A SYS DEVELOPMENT- IMMC SW,PH1A,W,HJX,LGS26HJX5,HJX,0819H,201311,60.61,0.00,0.00,170.00,3562.97,0.00,0.00,10280.58,0.00,0.00,28835.09,126,,L
,,,,,,,,,,,,,,,,,,,,,,,
