PROJECT,WBS ID,DESCRIPTION,ALIAS,E,CAM,CHARGE #,RESP,PERF,YYYYMM,BCWS HRS/UTS,ACT HRS/UTS,BCWP HRS/UTS,ETC HRS/UTS,BCWS PRIME,BCWP PRIME,ACT PRIME,BCWS T DLRS,BCWP T DLRS,ACT T DLRS,ETC T DLRS,CLIN,COMPANY,E
GSREARC,111-26HJX1,Phase 1A ERGONOMICS,PH1A,W,HJX,LGS26HJX1,HJX,0819H,201212,2.00,0.00,0.00,2.00,114.68,0.00,0.00,323.13,0.00,0.00,323.13,126,,L
GSREARC,111-26HJX1,Phase 1A ERGONOMICS,PH1A,W,HJX,LGS26HJX1,HJX,0819H,201301,2.00,0.00,0.00,2.00,119.10,0.00,0.00,343.65,0.00,0.00,343.65,126,,L
GSREARC,111-26HJX1,Phase 1A ERGONOMICS,PH1A,W,HJX,LGS26HJX1,HJX,0819H,201302,2.00,0.00,0.00,0.55,119.10,0.00,0.00,343.65,0.00,0.00,101.06,126,,L
GSREARC,111-26HJX1,Phase 1A ERGONOMICS,PH1A,W,HJX,LGS26HJX1,HJX,0819H,201303,2.00,0.00,0.00,0.55,119.10,0.00,0.00,343.65,0.00,0.00,101.06,126,,L
GSREARC,111-26HJX1,Phase 1A ERGONOMICS,PH1A,W,HJX,LGS26HJX1,HJX,0819H,201304,2.00,0.00,0.00,0.19,119.10,0.00,0.00,343.65,0.00,0.00,40.41,126,,L
GSREARC,111-26HJX1,Phase 1A ERGONOMICS,PH1A,W,HJX,LGS26HJX1,HJX,0819H,201305,2.00,0.00,0.00,0.62,119.10,0.00,0.00,343.65,0.00,0.00,113.19,126,,L
GSREARC,111-26HJX1,Phase 1A ERGONOMICS,PH1A,W,HJX,LGS26HJX1,HJX,0819H,201306,2.00,0.00,0.00,0.55,119.10,0.00,0.00,343.65,0.00,0.00,101.06,126,,L
GSREARC,111-26HJX1,Phase 1A ERGONOMICS,PH1A,W,HJX,LGS26HJX1,HJX,0819H,201307,2.00,0.00,0.00,0.26,119.10,0.00,0.00,343.65,0.00,0.00,52.54,126,,L
GSREARC,111-26HJX1,Phase 1A ERGONOMICS,PH1A,W,HJX,LGS26HJX1,HJX,0819H,201308,2.00,0.00,0.00,0.55,119.10,0.00,0.00,343.65,0.00,0.00,101.06,126,,L
GSREARC,111-26HJX1,Phase 1A ERGONOMICS,PH1A,W,HJX,LGS26HJX1,HJX,0819H,201309,2.00,0.00,0.00,0.62,119.10,0.00,0.00,343.65,0.00,0.00,113.19,126,,L
GSREARC,111-26HJX1,Phase 1A ERGONOMICS,PH1A,W,HJX,LGS26HJX1,HJX,0819H,201310,1.80,0.00,0.00,1.80,107.19,0.00,0.00,309.29,0.00,0.00,309.29,126,,L
GSREARC,111-26HJX1,Phase 1A ERGONOMICS,PH1A,W,HJX,LGS26HJX1,HJX,0819H,201311,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,126,,L
GSREARC,111-26HJX1,Phase 1A ERGONOMICS,PH1A,W,HJX,LGS26HJX1,HJX,0819H,201312,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,126,,L
GSREARC,153-26HJX1,PH 1A SUBSYS ASSEM. & TEST -GS INT TEST,PH1A,W,HJX,LGS26HJX2,HJX,0819H,201101,25.47,0.00,25.47,0.00,1352.87,1352.87,0.00,3583.70,3583.70,0.00,0.00,126,,L
GSREARC,153-26HJX1,PH 1A SUBSYS ASSEM. & TEST -GS INT TEST,PH1A,W,HJX,LGS26HJX2,HJX,0819H,201102,20.37,0.00,20.37,20.37,1082.30,1082.30,0.00,2866.96,2866.96,0.00,2979.62,126,,L
GSREARC,153-26HJX1,PH 1A SUBSYS ASSEM. & TEST -GS INT TEST,PH1A,W,HJX,LGS26HJX2,HJX,0819H,201103,20.37,0.00,20.37,20.37,1082.30,1082.30,0.00,2866.96,2866.96,0.00,2979.62,126,,L
GSREARC,153-26HJX1,PH 1A SUBSYS ASSEM. & TEST -GS INT TEST,PH1A,W,HJX,LGS26HJX2,HJX,0819H,201104,25.47,0.00,25.47,25.47,1352.87,1352.87,0.00,3583.70,3583.70,0.00,3692.46,126,,L
GSREARC,153-26HJX1,PH 1A SUBSYS ASSEM. & TEST -GS INT TEST,PH1A,W,HJX,LGS26HJX2,HJX,0819H,201105,19.36,0.00,19.36,0.00,1028.18,1028.18,0.00,2723.61,2723.61,0.00,0.00,126,,L
GSREARC,153-26HJX1,PH 1A SUBSYS ASSEM. & TEST -GS INT TEST,PH1A,W,HJX,LGS26HJX2,HJX,0819H,201106,19.36,0.00,19.36,0.00,1028.18,1028.18,0.00,2723.61,2723.61,0.00,0.00,126,,L
GSREARC,153-26HJX1,PH 1A SUBSYS ASSEM. & TEST -GS INT TEST,PH1A,W,HJX,LGS26HJX2,HJX,0819H,201107,-163.00,0.00,-163.00,-98.80,-8658.59,-8658.59,0.00,-22936.28,-22936.28,0.00,-14075.14,126,,L
GSREARC,153-26HJX1,PH 1A SUBSYS ASSEM. & TEST -GS INT TEST,PH1A,W,HJX,LGS26HJX2,HJX,0819H,201108,0.00,0.00,0.00,0.00,0.24,0.24,0.00,0.64,0.64,0.00,0.00,126,,L
GSREARC,153-26HJX1,PH 1A SUBSYS ASSEM. & TEST -GS INT TEST,PH1A,W,HJX,LGS26HJX2,HJX,0819H,201109,0.00,0.00,0.00,-0.01,0.24,0.24,0.00,0.64,0.64,0.00,-0.71,126,,L
GSREARC,153-26HJX1,PH 1A SUBSYS ASSEM. & TEST -GS INT TEST,PH1A,W,HJX,LGS26HJX2,HJX,0819H,201110,0.00,0.00,0.00,0.00,-0.10,-0.10,0.00,-0.26,-0.26,0.00,0.00,126,,L
GSREARC,153-26HJX1,PH 1A SUBSYS ASSEM. & TEST -GS INT TEST,PH1A,W,HJX,LGS26HJX2,HJX,0819H,201111,0.00,0.00,0.00,-0.01,-0.16,-0.16,0.00,-0.41,-0.41,0.00,-0.70,126,,L
GSREARC,153-26HJX2,PH 1A SUBSYS ASSEM. & TEST -GS INT TEST,PH1A,W,HJX,LGS26HJX3,HJX,0819H,201204,32.00,0.00,0.00,32.00,1834.88,0.00,0.00,5170.13,0.00,0.00,5170.13,126,,L
GSREARC,153-26HJX2,PH 1A SUBSYS ASSEM. & TEST -GS INT TEST,PH1A,W,HJX,LGS26HJX3,HJX,0819H,201205,30.00,0.00,0.00,30.00,1720.20,0.00,0.00,4847.00,0.00,0.00,4847.00,126,,L
GSREARC,153-26HJX2,PH 1A SUBSYS ASSEM. & TEST -GS INT TEST,PH1A,W,HJX,LGS26HJX3,HJX,0819H,201206,30.00,0.00,0.00,30.00,1720.20,0.00,0.00,4847.00,0.00,0.00,4847.00,126,,L
GSREARC,153-26HJX2,PH 1A SUBSYS ASSEM. & TEST -GS INT TEST,PH1A,W,HJX,LGS26HJX3,HJX,0819H,201207,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,126,,L
GSREARC,153-26HJX2,PH 1A SUBSYS ASSEM. & TEST -GS INT TEST,PH1A,W,HJX,LGS26HJX3,HJX,0819H,201208,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,126,,L
GSREARC,153-26HJX2,PH 1A SUBSYS ASSEM. & TEST -GS INT TEST,PH1A,W,HJX,LGS26HJX3,HJX,0819H,201209,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,126,,L
GSREARC,153-26HJX2,PH 1A SUBSYS ASSEM. & TEST -GS INT TEST,PH1A,W,HJX,LGS26HJX3,HJX,0819H,201210,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,126,,L
GSREARC,153-26HJX2,PH 1A SUBSYS ASSEM. & TEST -GS INT TEST,PH1A,W,HJX,LGS26HJX3,HJX,0819H,201212,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,126,,L
GSREARC,153-26HJX2,PH 1A SUBSYS ASSEM. & TEST -GS INT TEST,PH1A,W,HJX,LGS26HJX3,HJX,0819H,201303,30.00,0.00,0.00,30.00,1786.50,0.00,0.00,5154.76,0.00,0.00,5154.76,126,,L
GSREARC,153-26HJX2,PH 1A SUBSYS ASSEM. & TEST -GS INT TEST,PH1A,W,HJX,LGS26HJX3,HJX,0819H,201304,30.00,0.00,0.00,30.00,1786.50,0.00,0.00,5154.76,0.00,0.00,5154.76,126,,L
GSREARC,153-26HJX2,PH 1A SUBSYS ASSEM. & TEST -GS INT TEST,PH1A,W,HJX,LGS26HJX3,HJX,0819H,201305,30.00,0.00,0.00,30.00,1786.50,0.00,0.00,5154.76,0.00,0.00,5154.76,126,,L
GSREARC,153-26HJX2,PH 1A SUBSYS ASSEM. & TEST -GS INT TEST,PH1A,W,HJX,LGS26HJX3,HJX,0819H,201309,30.00,0.00,0.00,30.00,1786.50,0.00,0.00,5154.76,0.00,0.00,5154.76,126,,L
GSREARC,153-26HJX2,PH 1A SUBSYS ASSEM. & TEST -GS INT TEST,PH1A,W,HJX,LGS26HJX3,HJX,0819H,201310,30.00,0.00,0.00,30.00,1786.50,0.00,0.00,5154.76,0.00,0.00,5154.76,126,,L
